coverRef,receiptId,healthPremiumInclTax,healthTax,healthBrokerFee,healthHthc,expected_premium,diff
sub_1K3eb7F5i98BakySlK9WN5Cq-250269608804452,no_discount-2CCBD08A-10971-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K97fOF5i98BakyS7A7mIacz-0,no_discount-2CCBD08A-13170-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K6V8AF5i98BakySJ85YYfY8-250269590272939,no_discount-2CCBD08A-12127-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K1CBPF5i98BakyS6LhXGXtC-250268743909498,no_discount-2CCBD08A-14265-0,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_1K1CBPF5i98BakyS6LhXGXtC-250268743909498,no_discount-in_1K1CBPF5i98BakySV9o5H2q6-250268743909498,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_1K8mghF5i98BakySp0CeUFuW-250268731776919,no_discount-2CCBD08A-13060-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1K55cQF5i98BakyS0KxGmhRv-250269500810846,no_discount-2CCBD08A-11625-0,31.99,2.780769231,6.166666667,21.95,30.897435897999998,1.0925641020000008
sub_1K1oorF5i98BakySUDB7VkxR-250269604986793,no_discount-2CCBD08A-10052-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_1K3FhsF5i98BakySSOEY90YC-250268502194372,no_discount-2CCBD08A-10790-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1KBkxSF5i98BakySkkECqCI7-0,no_discount-2CCBD08A-14116-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1K55QLF5i98BakyShTmmWntC-250269802702032,no_discount-2CCBD08A-11624-0,33.99,2.932582418,7.641666667,22.01,32.584249085,1.4057509149999987
sub_1K3iSJF5i98BakySmoVsd8Zz-250268501512991,no_discount-2CCBD08A-11031-0,25.99,2.232527473,6.333333333,16.24,24.805860806,1.1841391940000001
sub_1JwCroF5i98BakySAyNo5l6Z-250269590595766,no_discount-2CCBD08A-12432-0,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1JwCroF5i98BakySAyNo5l6Z-250269590595766,no_discount-in_1JwCroF5i98BakySCwDF9cMK-250269590595766,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1KC60AF5i98BakySZpVurNSK-0,no_discount-2CCBD08A-14281-0,33.99,2.932582418,7.641666667,22.01,32.584249085,1.4057509149999987
sub_1K2E0NF5i98BakySUdtOM0AR-250268732705931,no_discount-2CCBD08A-10340-0,31.99,2.780769231,6.166666667,21.95,30.897435897999998,1.0925641020000008
sub_1K1xQKF5i98BakySwt5AXkkI-642099000751969,no_discount-2CCBD08A-10245-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K45NAF5i98BakySpglZrn3T-250268600114280,no_discount-2CCBD08A-11215-0,33.99,2.932582418,7.641666667,22.01,32.584249085,1.4057509149999987
sub_Jd0fyG17zUxvpc-250269590326851,no_discount-in_1JhynxF5i98BakySnSvSv60B-250269590326851,19.99,3.580714286,5.225,30.98,39.785714286,19.795714286000003
sub_1K7d6UF5i98BakySkTPsR6Zk-250269811414966,no_discount-2CCBD08A-12617-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1Jw7o2F5i98BakyS2loz0Qpr-250268712209816,no_discount-2CCBD08A-12392-0,51.99,4.306648352,12.465,31.08,47.851648352,4.138351648000004
